allNig_Mx2_KT698228	allNig
aloSar_Mx2_KT698229	aloSar
aloSar_MxA_JX297228	aloSar
aotNan_MX1_XM_012445105	aotNan
aotNan_MX2_XM_021669412	aotNan
aotTri_MX2_KJ650327	aotTri
aotTri_Mx2_KT698230	aotTri
aotTri_MxA_JX297229	aotTri
calJac_MX1_XM_008986719	calJac
calJac_MX1_XM_017967161	calJac
calJac_MX1_XM_017967162	calJac
calJac_MX2_XM_017967160	calJac
calJac_MX2_XR_001908636	calJac
calJac_MX2_XR_001908637	calJac
carSyr_LOC103265222_XM_021714946	carSyr
carSyr_LOC103271092_XM_008068564	carSyr
carSyr_LOC103277220_XM_021707336	carSyr
cebCapImi_MX1_XM_017538616	cebCap
cebCapImi_MX1_XM_017538617	cebCap
cebCapImi_MX1_XM_017538618	cebCap
cebCapImi_MX2_XM_017538614	cebCap
cebCapImi_MX2_XM_017538615	cebCap
cerCep_Mx2_KT698233	cerCep
cerPet_Mx2_KT698234	cerPet
chlAet_MX2_KF925356	chlAet
chlAet_MX2_KJ650325	chlAet
chlSab_MX1_XM_007968690	chlSab
chlSab_MX1_XM_007968698	chlSab
chlSab_MX1_XM_007968708	chlSab
chlSab_MX1_XM_007968715	chlSab
chlSab_MX1_XM_007968723	chlSab
chlSab_MX1_XM_007968734	chlSab
chlSab_MX2_XM_007968650	chlSab
chlSab_MX2_XM_007968659	chlSab
chlSab_MX2_XM_007968661	chlSab
chlSab_MX2_XM_007968671	chlSab
chlSab_MX2_XM_007968678	chlSab
colAngPal_MX1_XM_011954059	colAng
colAngPal_MX2_XM_011954057	colAng
colAngPal_MX2_XM_011954058	colAng
colGue_Mx2_KT698236	colGue
colGue_MxA_JX297233	colGue
eryPat_Mx2_KT698237	eryPat
gorGorGor_MX1_XM_019017585	gorGor
gorGorGor_MX1_XM_019017586	gorGor
gorGorGor_MX1_XM_019017587	gorGor
gorGorGor_MX1_XM_019017588	gorGor
gorGorGor_MX1_XM_019017589	gorGor
gorGorGor_MX1_XM_019017590	gorGor
gorGorGor_MX1_XM_019017591	gorGor
gorGorGor_MX1_XM_031005077	gorGor
gorGorGor_MX2_XM_004062835	gorGor
gorGorGor_MX2_XM_019017898	gorGor
gorGorGor_MX2_XM_019017900	gorGor
gorGor_Mx2_KT698238	gorGor
gorGor_MxA_JX297234	gorGor
homSap_MX1_AK093008	homSap
homSap_MX1_AK096355	homSap
homSap_MX1_AK225885	homSap
homSap_MX1_AK315465	homSap
homSap_MX1_BC014222	homSap
homSap_MX1_BC032602	homSap
homSap_MX1_CCDS13673	homSap
homSap_MX1_M30817	homSap
homSap_MX1_M33882	homSap
homSap_MX1_NM_001144925	homSap
homSap_MX1_NM_001178046	homSap
homSap_MX1_NM_001282920	homSap
homSap_MX1_NM_002462	homSap
homSap_MX1_XM_005260978	homSap
homSap_MX1_XM_005260979	homSap
homSap_MX1_XM_005260980	homSap
homSap_MX1_XM_005260981	homSap
homSap_MX1_XM_005260982	homSap
homSap_MX1_XM_011529568	homSap
homSap_MX1_XM_011529570	homSap
homSap_MX1_XM_017028349	homSap
homSap_MX1_XM_017028350	homSap
homSap_MX1_XM_017028351	homSap
homSap_MX1_XM_017028352	homSap
homSap_MX2_AK122952	homSap
homSap_MX2_BC035293	homSap
homSap_MX2_M30818	homSap
homSap_MX2_M33883	homSap
homSap_MX2_NM_002463	homSap
homSap_MX2_XM_005260983	homSap
