Sites	Ll_YN98.omega=0.00197485	Ll_YN98.omega=0.0068784	Ll_YN98.omega=0.0253055	Ll_YN98.omega=0.140586	Ll_YN98.omega=1	Pr_YN98.omega=0.00197485	Pr_YN98.omega=0.0068784	Pr_YN98.omega=0.0253055	Pr_YN98.omega=0.140586	Pr_YN98.omega=1	mean
1	-3.70018	-3.71074	-3.7504	-3.99818	-5.82642	0.271041	0.268195	0.257766	0.201194	0.00180315	0.0389912
2	-9.40669	-9.41689	-9.4552	-9.69409	-11.4307	0.270264	0.267522	0.257467	0.202755	0.0019916	0.0393854
3	-14.5234	-13.2844	-12.0149	-10.507	-10.0687	0.0129801	0.0448126	0.159492	0.720435	0.0622807	0.167934
4	-4.42617	-4.43451	-4.46585	-4.66167	-6.10852	0.266429	0.264216	0.256065	0.210527	0.00276285	0.0411834
5	-11.2426	-11.2524	-11.2891	-11.5182	-13.1906	0.2694	0.266779	0.257162	0.204517	0.00214202	0.0397689
6	-4.70429	-4.71342	-4.74772	-4.96176	-6.52619	0.268066	0.265629	0.256672	0.207215	0.00241774	0.040401
7	-3.76194	-3.77286	-3.81388	-4.06998	-5.94993	0.271764	0.268812	0.258009	0.199715	0.0016997	0.0386916
8	-4.52064	-4.52989	-4.56462	-4.78152	-6.37808	0.268323	0.265853	0.256779	0.206709	0.00233557	0.0402525
9	-4.0624	-4.07149	-4.10567	-4.31903	-5.88385	0.268006	0.265579	0.256655	0.207342	0.00241828	0.0404186
10	-8.66732	-8.67637	-8.71034	-8.92251	-10.4836	0.2679	0.265488	0.25662	0.207562	0.0024299	0.0404593
11	-3.76194	-3.77286	-3.81388	-4.06998	-5.94993	0.271764	0.268812	0.258009	0.199715	0.0016997	0.0386916
12	-4.44377	-4.45385	-4.49171	-4.72828	-6.47382	0.270061	0.267353	0.257419	0.203189	0.00197802	0.03943
13	-6.95998	-6.96898	-7.00277	-7.21364	-8.75535	0.267783	0.265384	0.256566	0.207787	0.00248012	0.0405389
14	-6.71806	-6.72618	-6.75667	-6.94703	-8.34404	0.265931	0.263781	0.25586	0.21151	0.00291761	0.0414673
15	-3.82268	-3.83171	-3.86565	-4.07763	-5.63923	0.267883	0.265474	0.256616	0.207598	0.00242907	0.0404634
16	-4.99176	-4.99813	-5.02207	-5.17166	-6.27594	0.262152	0.260487	0.254324	0.218989	0.00404812	0.0435803
17	-8.66732	-8.67637	-8.71034	-8.92251	-10.4836	0.2679	0.265488	0.25662	0.207562	0.0024299	0.0404593
18	-5.69376	-5.69816	-5.71469	-5.81797	-6.58115	0.257662	0.256531	0.252325	0.227566	0.0059166	0.0465678
19	-11.5219	-11.5298	-11.5596	-11.7456	-13.1011	0.265528	0.263429	0.255691	0.2123	0.00305254	0.0417057
