Sites	Ll_YN98.omega=0.12881	Ll_YN98.omega=0.813965	Ll_YN98.omega=0.997112	Ll_YN98.omega=0.999999	Pr_YN98.omega=0.12881	Pr_YN98.omega=0.813965	Pr_YN98.omega=0.997112	Pr_YN98.omega=0.999999	mean
527	-3.97803	-5.09662	-5.39299	-5.39765	0.552036	0.180371	0.134108	0.133485	0.485129
529	-53.5893	-46.4193	-45.6966	-45.6865	0.000149627	0.194494	0.400648	0.404708	0.962529
532	-3.79972	-3.97775	-4.02501	-4.02575	0.2913	0.243793	0.23254	0.232367	0.700197
533	-33.2066	-27.8424	-27.2777	-27.2697	0.00103188	0.220429	0.387717	0.390822	0.956973
534	-15.5622	-12.9161	-12.7858	-12.7843	0.0211659	0.298415	0.339963	0.340456	0.925063
535	-19.6693	-15.103	-14.7491	-14.7444	0.00268904	0.258649	0.36847	0.370192	0.948475
536	-23.8677	-20.8356	-20.6032	-20.6002	0.0134849	0.279701	0.352868	0.353947	0.935198
537	-26.5515	-21.6336	-21.1875	-21.1814	0.00176624	0.241473	0.377224	0.379536	0.952449
538	-34.0673	-29.4699	-29.1052	-29.1004	0.00258596	0.256593	0.369514	0.371307	0.948944
539	-14.0357	-13.0943	-13.1304	-13.1312	0.117553	0.301339	0.29068	0.290428	0.840689
540	-18.3903	-15.497	-15.3016	-15.2991	0.0158716	0.286519	0.348374	0.349235	0.931864
541	-16.1346	-16.7203	-16.8758	-16.8783	0.398644	0.221915	0.189953	0.189488	0.610872
542	-34.5304	-31.5082	-31.2785	-31.2755	0.0136436	0.280206	0.352544	0.353606	0.934967
543	-10.4355	-9.62273	-9.69185	-9.69323	0.13407	0.302229	0.282046	0.281655	0.826159
544	-17.6766	-14.6941	-14.4753	-14.4724	0.0142994	0.282204	0.351249	0.352247	0.934028
545	-12.1924	-12.7618	-12.9114	-12.9137	0.393809	0.222862	0.19189	0.191439	0.614903
546	-19.4161	-16.5681	-16.3836	-16.3813	0.016722	0.288525	0.346977	0.347776	0.930754
547	-35.0497	-29.2587	-28.6633	-28.655	0.000657554	0.215242	0.390422	0.393679	0.958257
548	-37.851	-29.4485	-28.6494	-28.6384	4.09919e-05	0.182755	0.406342	0.410862	0.964791
549	-25.1235	-22.4554	-22.3188	-22.3172	0.0206261	0.297254	0.340796	0.341324	0.925746
550	-27.677	-23.1503	-22.8074	-22.8029	0.00282036	0.260747	0.36739	0.369043	0.947973
551	-21.1759	-18.271	-18.0688	-18.0663	0.0156173	0.285223	0.349128	0.350032	0.932324
552	-25.3921	-20.6445	-20.243	-20.2376	0.00216554	0.249706	0.373052	0.375076	0.950581
553	-10.1619	-11.0706	-11.3117	-11.3155	0.491345	0.198042	0.155601	0.155012	0.534653
554	-18.3512	-15.5471	-15.3729	-15.3708	0.0175874	0.290394	0.345639	0.34638	0.929656
555	-10.8458	-10.1686	-10.2748	-10.2768	0.153728	0.302596	0.272106	0.27157	0.808994
556	-25.3209	-22.4195	-22.2219	-22.2194	0.0157223	0.286134	0.348635	0.349509	0.932065
557	-9.77474	-8.78789	-8.81188	-8.81256	0.112116	0.300782	0.293651	0.293451	0.845521
558	-31.5148	-28.6193	-28.4235	-28.421	0.0158331	0.286462	0.348421	0.349284	0.931908
559	-4.76511	-5.34044	-5.49304	-5.49544	0.395697	0.222589	0.191086	0.190627	0.613311
560	-5.37337	-5.87332	-6.00618	-6.00827	0.374861	0.227376	0.199089	0.198673	0.630549
561	-33.5316	-26.8903	-26.273	-26.2645	0.000276255	0.211632	0.39237	0.395721	0.959255
562	-64.9087	-50.9326	-49.5117	-49.4918	9.09414e-08	0.106776	0.442158	0.451066	0.978858
563	-41.3265	-34.0492	-33.2923	-33.2817	0.000130716	0.189147	0.403208	0.407514	0.963533
564	-25.7169	-24.0648	-23.9314	-23.9296	0.0550844	0.287435	0.328453	0.329028	0.897589
565	-15.2241	-14.3445	-14.3947	-14.3958	0.125133	0.301562	0.286808	0.286497	0.834056
566	-10.4339	-11.0151	-11.1696	-11.1721	0.397401	0.22223	0.190416	0.189953	0.611895
567	-31.5972	-24.9832	-24.3735	-24.3651	0.000285606	0.21291	0.391753	0.395051	0.959011
568	-82.3217	-65.1377	-63.2338	-63.2068	2.35787e-09	0.0684592	0.459472	0.472069	0.985937
569	-8.22759	-7.41064	-7.47897	-7.48035	0.133532	0.302261	0.282297	0.281909	0.826621
570	-8.95322	-8.24414	-8.34204	-8.34388	0.148944	0.302673	0.274445	0.273939	0.813141
571	-25.6923	-22.0444	-21.7111	-21.7066	0.0068122	0.261535	0.365	0.366653	0.944356
572	-24.804	-20.2695	-19.9242	-19.9197	0.00279351	0.260286	0.367626	0.369295	0.948082
573	-12.3147	-11.4238	-11.4724	-11.4735	0.123793	0.301712	0.2874	0.287095	0.835193
574	-12.5681	-11.4958	-11.4967	-11.4971	0.102461	0.299394	0.299119	0.299025	0.854175
575	-4.47872	-5.50375	-5.77534	-5.77961	0.525065	0.188385	0.143581	0.142969	0.507108
576	-8.77924	-7.94719	-8.01129	-8.01259	0.131476	0.302137	0.283379	0.283009	0.828432
577	-20.9844	-18.1218	-17.9345	-17.9322	0.0164522	0.288034	0.34735	0.348164	0.931079
578	-13.5402	-12.5036	-12.5124	-12.5128	0.106288	0.299696	0.297072	0.296944	0.850791
579	-10.7917	-9.83158	-9.86261	-9.8634	0.115277	0.301118	0.291918	0.291687	0.84271
580	-10.1758	-11.0052	-11.2248	-11.2282	0.468236	0.20429	0.16402	0.163455	0.553599
581	-22.2279	-19.5173	-19.3681	-19.3663	0.0196142	0.294953	0.342416	0.343017	0.927051
582	-5.19447	-5.73874	-5.88344	-5.88572	0.387101	0.22462	0.19436	0.193918	0.620413
583	-11.5365	-10.7803	-10.8654	-10.8671	0.142056	0.30259	0.277905	0.277449	0.819147
584	-31.9171	-25.2647	-24.6458	-24.6373	0.000272854	0.211373	0.392497	0.395857	0.959305
585	-32.8292	-26.38	-25.8122	-25.8045	0.000348089	0.220071	0.388284	0.391297	0.957634
586	-24.2139	-19.5237	-19.1357	-19.1304	0.00231655	0.252195	0.371774	0.373714	0.949991
587	-12.451	-13.351	-13.59	-13.5938	0.488856	0.198747	0.156492	0.155904	0.536687
588	-41.0287	-33.8118	-33.0749	-33.0646	0.000141134	0.192262	0.401716	0.40588	0.962949
589	-49.9778	-39.0109	-37.8599	-37.8437	2.34111e-06	0.135605	0.428695	0.435697	0.973532
590	-13.7043	-14.7333	-15.0053	-15.0095	0.526111	0.188014	0.143243	0.142632	0.506266
591	-17.5658	-16.5077	-16.513	-16.5134	0.104052	0.29974	0.298161	0.298047	0.852727
592	-13.7348	-12.6507	-12.649	-12.6492	0.101212	0.299284	0.299794	0.299711	0.855282
593	-12.1101	-10.8774	-10.8365	-10.8361	0.0863635	0.296262	0.308634	0.30874	0.868754
594	-19.696	-16.8482	-16.6639	-16.6616	0.0167286	0.288544	0.346964	0.347763	0.930745
595	-3.4823	-4.51485	-4.78738	-4.79166	0.527082	0.187692	0.142918	0.142307	0.505481
596	-19.6358	-18.4325	-18.3993	-18.3991	0.0891318	0.296918	0.306941	0.307009	0.866225
597	-3.94678	-5.03475	-5.32257	-5.32709	0.543173	0.182993	0.137227	0.136607	0.492354
598	-31.3729	-24.7878	-24.1847	-24.1764	0.000295522	0.214025	0.391213	0.394467	0.958796
599	-34.8768	-29.6445	-29.1445	-29.1377	0.00123812	0.231806	0.382157	0.384799	0.954693
600	-31.822	-27.0666	-26.663	-26.6576	0.00214532	0.249318	0.37325	0.375287	0.950671
601	-23.5634	-19.0232	-18.6762	-18.6716	0.00277399	0.259949	0.367799	0.369478	0.948161
602	-65.4695	-51.5535	-50.1547	-50.1352	9.85126e-08	0.108924	0.441177	0.449899	0.978462
603	-10.0723	-9.29732	-9.37685	-9.3784	0.139338	0.302447	0.279324	0.278891	0.821538
604	-27.4215	-22.6328	-22.22	-22.2144	0.0020608	0.247586	0.374128	0.376225	0.951064
605	-40.8491	-32.38	-31.5634	-31.5521	3.78019e-05	0.180133	0.407591	0.412238	0.965278
606	-19.0317	-17.926	-17.9186	-17.9187	0.098923	0.298887	0.301123	0.301067	0.857346
607	-25.1001	-22.1938	-21.9948	-21.9923	0.0156299	0.285872	0.348808	0.34969	0.932193
608	-62.0934	-49.9201	-48.6909	-48.6737	6.54311e-07	0.126635	0.43292	0.440445	0.97519
609	-39.4204	-32.7014	-32.0624	-32.0535	0.000251219	0.20802	0.394113	0.397615	0.959943
610	-37.2367	-34.3565	-34.1641	-34.1617	0.0161127	0.287077	0.347983	0.348828	0.931551
611	-3.78955	-4.78678	-5.05044	-5.05458	0.516922	0.190692	0.146496	0.14589	0.513764
612	-20.5554	-17.2168	-16.9336	-16.9298	0.00960362	0.270612	0.359212	0.360573	0.940252
613	-12.9508	-13.7067	-13.9071	-13.9103	0.447029	0.209924	0.171794	0.171253	0.571003
614	-35.1761	-28.6192	-28.0243	-28.0161	0.000305951	0.215421	0.390538	0.393734	0.958529
615	-28.5131	-23.8381	-23.453	-23.4479	0.00235715	0.252763	0.371479	0.373401	0.94985
616	-8.90478	-9.81807	-10.0593	-10.0631	0.492507	0.197596	0.155242	0.154655	0.533724
617	-9.37939	-8.42611	-8.45863	-8.45944	0.116083	0.301141	0.291506	0.29127	0.842005
618	-27.1233	-22.1462	-21.6837	-21.6773	0.00164409	0.238492	0.378722	0.381142	0.953106
619	-3.4823	-4.51485	-4.78738	-4.79166	0.527082	0.187692	0.142918	0.142307	0.505481
629	-56.1803	-47.8144	-47.0241	-47.0132	4.28266e-05	0.184084	0.405708	0.410165	0.964544
630	-24.544	-21.821	-21.6678	-21.6659	0.0193224	0.294211	0.342921	0.343545	0.927442
631	-50.3652	-40.0602	-39.043	-39.0288	5.09346e-06	0.152198	0.420891	0.426906	0.970465
632	-82.6024	-66.1032	-64.3489	-64.3241	5.37725e-09	0.0787145	0.454936	0.46635	0.984042
633	-16.753	-13.8681	-13.6741	-13.6717	0.0160203	0.286777	0.348174	0.349028	0.931687
634	-45.6314	-40.8906	-40.4911	-40.4857	0.00218347	0.250062	0.372872	0.374883	0.9505
635	-18.2807	-17.0972	-17.0687	-17.0686	0.0910222	0.297251	0.305841	0.305886	0.86452
636	-29.7396	-25.0954	-24.7178	-24.7128	0.00244424	0.254166	0.370757	0.372633	0.949516
637	-17.0986	-16.116	-16.1399	-16.1405	0.112536	0.300606	0.293528	0.29333	0.845188
638	-33.7891	-27.2202	-26.6222	-26.614	0.000301588	0.214895	0.390793	0.39401	0.95863
639	-3.83963	-4.73777	-4.97538	-4.97912	0.488166	0.198841	0.156789	0.156204	0.53727
640	-40.9201	-34.2049	-33.5676	-33.5587	0.000252515	0.208295	0.393981	0.397471	0.959892
642	-26.6814	-22.1396	-21.7922	-21.7877	0.00276905	0.259889	0.36783	0.369512	0.948177
643	-47.0879	-38.7007	-37.9058	-37.8948	4.17669e-05	0.183378	0.406045	0.410535	0.964676
644	-32.2664	-27.5467	-27.1534	-27.1481	0.00224044	0.251231	0.372279	0.374249	0.950235
645	-19.4434	-16.521	-16.3177	-16.3151	0.0153381	0.285069	0.349342	0.35025	0.932595
646	-19.9348	-17.0518	-16.8587	-16.8563	0.0160594	0.286956	0.348068	0.348917	0.93162
647	-33.6987	-26.5697	-25.8605	-25.8507	0.000157608	0.196634	0.399623	0.403585	0.962127
648	-10.996	-9.92168	-9.92247	-9.92279	0.10227	0.299433	0.299196	0.299102	0.854334
649	-28.0867	-25.2258	-25.0385	-25.0362	0.016479	0.28803	0.347338	0.348153	0.931056
