aotNan_RB1_XM_012465151	aotNan
calJac_RB1_XM_008992037	calJac
carSyr_RB1_XM_008056952	carSyr
cebCapImi_RB1_XM_017535956	cebCap
cebCapImi_RB1_XM_017535957	cebCap
chlSab_RB1_XM_007960381	chlSab
colAngPal_RB1_XM_011939655	colAng
gorGorGor_RB1_XM_031001306	gorGor
homSap_MIC2_M28419	homSap
homSap_RB1_AB208788	homSap
homSap_RB1_AK291258	homSap
homSap_RB1_AK299179	homSap
homSap_RB1_AK300284	homSap
homSap_RB1_AK307730	homSap
homSap_RB1_BC039060	homSap
homSap_RB1_BC040540	homSap
homSap_RB1_CCDS31973	homSap
homSap_RB1_L41870	homSap
homSap_RB1_M15400	homSap
homSap_RB1_M33647	homSap
homSap_RB1_NM_000321	homSap
homSap_RB1_XM_011535171	homSap
macFas_RB1_XM_005585835	macFas
macFas_RB1_XM_015439274	macFas
macMul_RB1_NM_001261047	macMul
macNem_RB1_XM_011756559	macNem
macNem_RB1_XM_011756560	macNem
manLeu_RB1_XM_011998626	manLeu
micMur_RB1_XM_020290392	micMur
micMur_RB1_XM_020290393	micMur
nomLeu_RB1_XM_003270074	nomLeu
otoGar_RB1_XM_003796681	otoGar
panPan_RB1_XM_003811422	panPan
panTro_RB1_XM_016925689	panTro
panTro_RB1_XM_509777	panTro
papAnu_RB1_XM_031655844	papAnu
pilTep_RB1_XM_023187397	pilTep
ponAbe_RB1_XM_002824264	ponAbe
rhiBie_RB1_XM_017873723	rhiBie
rhiRox_RB1_XM_010363858	rhiRox
saiBolBol_RB1_XM_003942219	saiBol
theGel_RB1_XM_025364229	theGel
